,NameAZList,NameH1,ShortNameAZList,GSHindex
journals/puc,Ubiquitous Computing (Personal and ...),Personal and Ubiquitous Computing,,
journals/pvldb,VLDB Endowment (Proceedings of the ...),Proceedings of the VLDB Endowment,,
journals/qic,Quantum Information & Computation,Quantum Information & Computation,,25.0
journals/qre,Reliability Engineering International (Quality and ...),Quality and Reliability Engineering International,,
journals/questa,Queueing Systems - Theory and Applications,Queueing Systems - Theory and Applications (QUESTA),,
journals/queue,Queue (ACM),ACM Queue,,
journals/rairo,RAIRO - Operations Research,RAIRO - Operations Research,,9.0
journals/ram,Robotics & Automation Magazine (IEEE),IEEE Robotics & Automation Magazine,,
journals/ras,Robotics and Autonomous Systems,Robotics and Autonomous Systems,,37.0
journals/rasi,Sistemas e Informática (Revista Avances en ...),Revista Avances en Sistemas e Informática (RASI),,
journals/rc,Reliable Computing,Reliable Computing,,
journals/rcc,Revista Colombiana de Computación,Revista Colombiana de Computación / Colombian Journal of Computation,,
journals/rcs,Research in Computing Science,Research in Computing Science,,
journals/rda,Risk and Decision Analysis,Risk and Decision Analysis,,
journals/re,Requirements Engineering,Requirements Engineering,,22.0
journals/ress,System Safety (Reliability Engineering & ...),Reliability Engineering & System Safety,,
journals/rhino,Rhino Didactics,Rhino Didactics,,
journals/ria,Revue d'Intelligence Artificielle,Revue d'Intelligence Artificielle,,6.0
journals/rig,Revue Internationale de Géomatique,Revue Internationale de Géomatique,,
journals/riga,Scientific Journal of Riga Technical University. Computer Sciences,Applied Computer Systems - The Journal of Riga Technical University,,
journals/rita,Revista de Informática Teórica e Aplicada - RITA,Revista de Informática Teórica e Aplicada - RITA,,
journals/rml,Reports on Mathematical Logic,Reports on Mathematical Logic,,
journals/roars,"Roars Transactions, a Journal on Research Policy and Evaluation","Roars Transactions, a Journal on Research Policy and Evaluation",,
journals/robotersysteme,Robotersysteme,Robotersysteme,,
journals/robotica,Robotica,Robotica,,23.0
journals/robotics,Robotics,Robotics,,61.0
journals/rptel,Technology Enhanced Learning (Research and Practice in ...),Research and Practice in Technology Enhanced Learning,,
journals/rsa,Random Structures and Algorithms,Random Structures and Algorithms,,
journals/rss,Socionetwork Strategies (The Review of ...),The Review of Socionetwork Strategies,,
journals/rti,Real-Time Imaging,Real-Time Imaging,,
journals/rts,Real-Time Systems,Real-Time Systems,,30.0
journals/sLogica,Studia Logica - An International Journal for Symbolic Logic,Studia Logica - An International Journal for Symbolic Logic,,
journals/sac,Statistics and Computing,Statistics and Computing,,28.0
journals/sadhana,Sadhana,Sadhana,,13.0
journals/sadm,Statistical Analysis and Data Mining,Statistical Analysis and Data Mining,,19.0
journals/saem,Systems Assurance Engineering and Management (International Journal of ...),International Journal of Systems Assurance Engineering and Management,,
journals/saj,South African Computer Journal,South African Computer Journal,,
journals/scc,Spatial Cognition & Computation,Spatial Cognition & Computation,,
journals/scfbm,Source Code for Biology and Medicine,Source Code for Biology and Medicine,,
journals/schedae,Schedae Informaticae,Schedae Informaticae,,
journals/scheduling,Scheduling (Journal of ...),Journal of Scheduling,,
journals/scholarpedia,Scholarpedia,Scholarpedia,,
journals/science,Science,Science,,311.0
journals/scientometrics,Scientometrics,Scientometrics,,40.0
journals/scjapan,Systems and Computers in Japan,Systems and Computers in Japan,,
journals/scl,Systems & Control Letters,Systems & Control Letters,,89.0
journals/scn,Security and Communication Networks,Security and Communication Networks,,19.0
journals/scp,Science of Computer Programming,Science of Computer Programming,,26.0
journals/scpe,Scalable Computing: Practice and Experience,Scalable Computing: Practice and Experience,,
journals/scw,Welfare (Social Choice and ...),Social Choice and Welfare,,
journals/se,Systems Engineering,Systems Engineering,,30.0
journals/see,Science and Engineering Ethics,Science and Engineering Ethics,,18.0
journals/semweb,Semantic Web,Semantic Web,,42.0
journals/sesa,Transactions on Security and Safety (EAI Endorsed ...),EAI Endorsed Transactions on Security and Safety,,
journals/sg,Transactions on Serious Games (EAI Endorsed ...),EAI Endorsed Transactions on Serious Games,,
journals/siamads,SIAM Journal on Applied Dynamical Systems,SIAM Journal on Applied Dynamical Systems,,24.0
journals/siamam,SIAM Journal on Applied Mathematics,SIAM Journal on Applied Mathematics,,26.0
journals/siamco,SIAM Journal on Control and Optimization,SIAM Journal on Control and Optimization,,36.0
journals/siamcomp,SIAM Journal on Computing,SIAM Journal on Computing,,39.0
journals/siamdm,SIAM Journal on Discrete Mathematics,SIAM Journal on Discrete Mathematics,,26.0
journals/siamfm,SIAM Journal on Financial Mathematics,SIAM Journal on Financial Mathematics,,25.0
journals/siamis,SIAM Journal on Imaging Sciences,SIAM Journal on Imaging Sciences,,36.0
journals/siamjo,SIAM Journal on Optimization,SIAM Journal on Optimization,,41.0
journals/siamma,SIAM Journal on Mathematical Analysis,SIAM Journal on Mathematical Analysis,,30.0
journals/siammax,SIAM Journal on Matrix Analysis and Applications,SIAM Journal on Matrix Analysis and Applications,,32.0
journals/siamnum,SIAM Journal on Numerical Analysis,SIAM Journal on Numerical Analysis,,38.0
journals/siamrev,SIAM Review,SIAM Review,,33.0
journals/siamsc,SIAM Journal on Scientific Computing,SIAM Journal on Scientific Computing,,42.0
journals/sigact,SIGACT News (ACM),SIGACT News (ACM),,
journals/sigapl,SIGAPL APL Quote Quad (ACM),ACM SIGAPL APL Quote Quad,,
journals/sigarch,SIGARCH Computer Architecture News,SIGARCH Computer Architecture News,,
journals/sigart,SIGART Bulletin,Intelligence,,
journals/sigbed,SIGBED Review,SIGBED Review,,
journals/sigcse,SIGCSE Bulletin (ACM),inroads (ACM SIGCSE Bulletin),,
journals/sigecom,SIGecom Exchanges,SIGecom Exchanges,,
journals/sighit,SIGHIT Record,SIGHIT Record,,
journals/sigir,SIGIR Forum,SIGIR Forum,,11.0
journals/sigkdd,SIGKDD Explorations,SIGKDD Explorations,,20.0
journals/sigmetrics,SIGMETRICS Performance Evaluation Review,SIGMETRICS Performance Evaluation Review,,39.0
journals/sigmobile,SIGMOBILE: Mobile Computing and Communications Review (ACM),ACM SIGMOBILE Mobile Computing and Communications Review,,
journals/sigmod,SIGMOD Record,SIGMOD Record,,21.0
journals/sigops,SIGOPS: Operating Systems Review (ACM),Operating Systems Review,,
journals/sigplan,SIGPLAN Notices (ACM),SIGPLAN Notices,,
journals/sigpro,Signal Processing,Signal Processing,,84.0
journals/sigsoft,Software Engineering Notes (ACM SIGSOFT),ACM SIGSOFT Software Engineering Notes,,
journals/sigspatial,SIGSPATIAL Special (ACM),SIGSPATIAL Special,,
journals/simpra,Simulation Modelling Practice and Theory,Simulation (Modelling) Practice and Theory,,
journals/simulation,Simulation,Simulation,,61.0
journals/sis,Transactions on Scalable Information Systems (EAI Endorsed ...),EAI Endorsed Transactions on Scalable Information Systems,,
journals/siu,Studia Informatica Universalis,Studia Informatica Universalis,,
journals/sivp,"Signal, Image and Video Processing","Signal, Image and Video Processing",,13.0
journals/siwn,System and Information Sciences Notes,System and Information Sciences Notes,,
journals/sj,Systems Journal (IEEE),IEEE Systems Journal,,
journals/sjis,Scandinavian Journal of Information Systems,Scandinavian Journal of Information Systems,,
journals/sma,Statistical Methods and Applications,Statistical Methods and Applications,,
journals/smartcr,Smart Computing Review,Smart Computing Review,,
journals/smr,Software: Evolution and Process (Journal of ...),Journal of Software: Evolution and Process,,
journals/snam,Social Network Analysis and Mining,Social Network Analysis and Mining,,15.0
journals/soca,Service Oriented Computing and Applications,Service Oriented Computing and Applications,,12.0
journals/socnet,Social Networks,Social Networks,,33.0
journals/soco,Soft Computing,Soft Computing,,57.0
journals/sofo,Software Focus,Software Focus,,
journals/software,Software (IEEE),IEEE Software,,
journals/sopr,Software Process: Improvement and Practice,Software Process: Improvement and Practice,,
journals/sosym,Software and System Modeling,Software and System Modeling,,
journals/sp,Scientific Programming,Scientific Programming,,
journals/spacecomm,Space Communications,Space Communications,,7.0
journals/spe,Software - Practice and Experience,Software - Practice and Experience (SPE),,
journals/speech,Speech Communication,Speech Communication,,34.0
journals/spic,Signal Processing: Image Communication,Signal Processing: Image Communication,,25.0
journals/spl,Signal Processing Letters (IEEE),IEEE Signal Processing Letters,,
journals/spm,Signal Processing Magazine (IEEE),IEEE Signal Processing Magazine,,
journals/sqj,Software Quality Journal,Software Quality Journal,,17.0
journals/standardview,StandardView (ACM),ACM StandardView,,
journals/stp,Structured Programming,Software - Concepts and Tools,,
journals/stt,Softwaretechnik-Trends,Softwaretechnik-Trends,,
journals/sttt,Technology Transfer (International Journal on Software Tools for ...),International Journal on Software Tools for Technology Transfer (STTT),,
journals/stvr,"Testing, Verification & Reliability (Software ...)","Software Testing, Verification & Reliability (STVR)",,
journals/swarm,Swarm Intelligence,Swarm Intelligence,,13.0
journals/swevo,Swarm and Evolutionary Computation,Swarm and Evolutionary Computation,,
journals/symmetry,Symmetry,Symmetry,,20.0
journals/synthese,Synthese,Synthese,,32.0
journals/taas,Transactions on Autonomous and Adaptive Systems (ACM),ACM Transactions on Autonomous and Adaptive Systems (TAAS),,
journals/taasm,Technology Analysis & Strategic Management,Technology Analysis & Strategic Management,,21.0
journals/tac,Transactions on Automatic Control (IEEE),IEEE Transactions on Automatic Control,,
journals/taccess,Transactions on Accessible Computing (ACM),ACM Transactions on Accessible Computing (TACCESS),,
journals/tacl,Transactions of the Association for Computational Linguistics,Transactions of the Association for Computational Linguistics,,
journals/taco,Transactions on Architecture and Code Optimization (ACM),ACM Transactions on Architecture and Code Optimization (TACO),,
journals/taffco,Transactions on Affective Computing (IEEE),IEEE Transactions on Affective Computing,,
journals/tal,Traitement Automatique des Langues,Traitement Automatique des Langues,,
journals/talg,Transactions on Algorithms (ACM),ACM Transactions on Algorithms,,
journals/talip,Transactions on Asian Language Information Processing (ACM),ACM Transactions on Asian Language Information Processing,,
journals/tamd,Transactions on Autonomous Mental Development (IEEE),IEEE Transactions on Autonomous Mental Development,,
journals/tamm,The American Mathematical Monthly,The American Mathematical Monthly,,16.0
journals/taosd,Transactions on Aspect-Oriented Software Development,Transactions on Modularity (LNCS),,
